one,two
0.22767982399693698,0.8582041480574577
0.9791882160551239,0.07715064988053028
0.504576604695406,0.5531144137299899
0.058132400743383585,0.52809798025712
0.7753430178214513,0.2179216898195512
0.5504238310550534,0.4708598154998745
0.04578653961976978,0.9185789498889001
0.5857699421693808,0.05803225463485838
0.7090721735923948,0.5818736617699065
0.018503930375096615,0.8865229185953829
0.8860650735174704,0.2395640162180548
0.6036387317795797,0.665583852216638
0.06942298413661226,0.858127672145648
0.6047387405995206,0.2781095847447219
0.7589891224957259,0.5120267751911348
0.08497507872469842,0.9911224601360906
0.6442858551230015,0.10730211335716414
0.6033125864818462,0.5364792610891768
0.0356326816753208,0.5874738213240243
0.6007179456626193,0.04656070021470395
0.6434305051145501,0.46461982084514997
0.005591057423835321,0.7325276954580224
0.6575004481350551,0.05025199077912135
0.6119056619160002,0.4952656410930785
0.013445197916278915,0.5016854306552392
0.7435273458440346,0.06386612295413036
0.6464662016389027,0.7148365185160322
0.2944081925357683,0.6986518421938682
0.9202207766123844,0.22637577124261393
0.6086795437566336,0.4786324767901295
0.0017518581090074316,0.5717931915621521
0.5077758503070033,0.2952284046764161
0.7791374916271712,0.49180666903860926
0.3078314950916783,0.8873374005146625
0.7581289957252834,0.19708612067771564
0.5486059364923573,0.5077936048016689
0.07527233079788495,0.522245376009042
0.5331128659173083,0.2143938721367786
0.4675014929645063,0.5271035868712899
0.18676781644394796,0.5070094980570479
0.8420132419188935,0.21490523432247818
0.642154431128747,0.6348127382396339
0.052001937496261946,0.9359277170660035
0.8148348297937917,0.16192163973622503
0.6943799683926528,0.5570759898576467
0.06508554149897222,0.9578825575349748
0.526030561477054,0.11168162286789401
0.5032780595784369,0.7508359873017096
0.1434226030623043,0.6911550271957625
0.8631445582912479,0.06988288031897169
0.6640990534886784,0.7730624203184077
0.09883778157876079,0.6261103580685701
0.7099346165895388,0.17850561972937623
0.6990012632919802,0.5981535368819337
0.2836900068227715,0.800106866601715
0.9350250628933433,0.16491007875502797
0.5710043090859719,0.6327473536908004
0.2188560796324386,0.9112905730514449
0.6294583790577973,0.27098231721904953
0.711909882692649,0.45341554453235267
0.2132610762251217,0.673521946268582
0.8092292788993549,0.29198518492616304
0.6893207764833285,0.6687151469112381
0.007126439690630053,0.9255992747515998
0.5616420089530748,0.15084239574623537
0.6222060261235629,0.5617219107848401
0.25948656499836426,0.563451806372046
0.5118871824449225,0.0005155650075597518
0.4692706390762479,0.5100323609510921
0.15755852023930098,0.7983291110557653
0.704470781180232,0.26733186354144606
0.5463181510428853,0.5171059613482747
0.11119696467025533,0.8096091807601442
0.5625437902157645,0.16666468289016856
0.4915519993039712,0.6398784074491172
0.16583790552093025,0.8614262570137948
0.8337721936021407,0.027733937152207035
0.5231896001098805,0.46037966005528497
0.2650083577810597,0.5980176200194074
0.5812853381010545,0.22865029666825695
0.5221046626094096,0.7215891408793452
0.060121371203491425,0.8400569038052936
0.8711799609358672,0.11348520558105879
0.5068205670603647,0.5525489511568009
0.07123126486775308,0.610044742146314
0.6862034914064209,0.23187687966148002
0.775153374890182,0.5331614170965996
